uestion,Right,Wrong 1,Wrong 2,Wrong 3,Explanation
"When shown on a tube map, which of the following London Underground stations does <strong>not</strong> occur on a line whose colour features in the station's name?",Blackfriars,Redbridge,Parsons Green,Turnham Green,"Aside from these three, the only other tube station to have it's line colour appear in its name is Stepney Green."
In what year was Thomas Bodley admitted as a Fellow of Merton College?,1564,1558,1569,1576,
The Ashmolean was the first museum in the world to be open to the public when it officially opened in what year?,1683,1675,1661,1650,
Only one of the following words appears in the traditional Latin version of the oath for new readers. Which one?,Depositam,Libro,Ardebit,Biblia,
Four famous Oxonian poets died in the 1980s. Which had lived the longest?,Robert Graves,Sir John Betjeman,Philip Larkin,Robert Penn Warren,"Born in 1895 and dying in 1985, Robert Graves lived to the ripe old age of 90."
"In 2010 what species produced offspring in the wild in the UK for the first time in around 400 years, following its reintroduction in Scotland?",Beaver,Bear,Wolf,Reindeer,
Which of these completes the name of an English League football club in Sheffield?,Wednesday,Tuesday,Monday,Thursday,
An extremely pleasant situation is said to be a bed of what?,Roses,Chocolate,Bubbles,Nails,
According to L. Frank Baum's 1902 <em>The Life and Adventures of Santa Claus</em> which of these pairs were among Santa's reindeer?,Fearless and Peerless,Snowy and Glowey,Vixen and Blixen,Crasher and Dasher,
" In Charles Dickens' novel <em>A Christmas Carol</em>, who was Scrooge's dead business partner?",Jacob Marley,Robert Harley,Joseph Bowley,Milly Swidger,
"In Frederic Austin's 1909 arrangement of <em>The Twelve Days of Christmas</em> - probably the most-popular version - what did ""my true love"" bring me nine of?",Ladies dancing,Lords a-leaping,Maids a-milking,Pipers piping,
The character Jack Skellington appears in which Christmas-themed 1993 film?,<em>The Nightmare before Christmas</em>,<em>The Muppet Christmas Carol</em>,<em>How the Toys Saved Christmas</em>,<em>Jack Frost</em>,
<em>How The Grinch Stole Christmas</em> was published in 1957 by which author (better known by the pen name they adopted while at Oxford)?,Theodor Geisel,Clive Staples Lewis,John Updike,Joy Davidman,"His pen name, of course, was Dr. Seuss."
From which country does the poinsettia (<em>uphorbia pulcherrima</em>) originate?,Mexico,Argentina,Mozambique,Indonesia,
How many points does a snowflake have?,Six,Seven,Eight,Nine,
The Bodleian Law Library celebrated a milestone anniversary in 2014. Which anniversary did it celebrate?,50th,25th,75th,100th,
"Complete this stage instruction in Shakespeare's <em>The Winter's Tale</em>: ""Exit, pursued by a...""",Bear,Dog,Tiger,Clown,
